engine,rate,block,preset,peak,rms,dc,over_unity_samples
Tunefish4,44100,64,0,1,0.35706898,-0.0077088978,0
Tunefish4,44100,64,1,0.58547479,0.087142646,-0.00064898506,0
Tunefish4,44100,64,2,1,0.17826498,-0.019181825,0
Dexed,44100,64,0,0.44514546,0.10279606,-4.7560982e-06,0
Dexed,44100,64,1,1.0013896,0.19571506,0.0005572193,2
Dexed,44100,64,2,0.46345454,0.086173512,0.00012659479,0
V2,44100,64,0,0.72817463,0.20803665,0.00014587823,0
V2,44100,64,1,1.0783135,0.33774343,0.00010231567,100
V2,44100,64,2,0.99740201,0.18433838,-7.5982746e-05,0
OsTIrus,44100,64,0,0.0078122616,3.7201246e-05,1.7714879e-07,0
OsTIrus,44100,64,1,0.13796782,0.075679218,0.0001657474,0
OsTIrus,44100,64,2,0.12958908,0.0053940312,5.3335626e-05,0
Tunefish4,48000,256,0,1,0.36034765,-0.0080775272,0
Tunefish4,48000,256,1,0.70925683,0.088189453,-0.00027937059,0
Tunefish4,48000,256,2,1,0.14877005,-0.021042477,0
Dexed,48000,256,0,0.44537637,0.10300875,-4.7496183e-06,0
Dexed,48000,256,1,1.0110887,0.19549319,0.00056845944,2
Dexed,48000,256,2,0.48547044,0.086220223,9.7076877e-05,0
V2,48000,256,0,0.77982104,0.21457951,0.00016876007,0
V2,48000,256,1,1.5007868,0.37188985,1.5343449e-05,401
V2,48000,256,2,0.99579108,0.19163943,-0.00016385933,0
OsTIrus,48000,256,0,0.0078122616,3.5657932e-05,1.6275545e-07,0
OsTIrus,48000,256,1,0.13740516,0.075804317,0.00021696953,0
OsTIrus,48000,256,2,0.12920523,0.0052999549,-6.9448456e-05,0
Tunefish4,96000,1024,0,1,0.34101584,-0.0081266636,0
Tunefish4,96000,1024,1,0.45318663,0.042697741,-0.0011377463,0
Tunefish4,96000,1024,2,0.99999863,0.06224018,-0.0038389535,0
Dexed,96000,1024,0,0.44535244,0.10252219,-4.9455198e-06,0
Dexed,96000,1024,1,1.1621346,0.19147143,0.00059185728,2
Dexed,96000,1024,2,0.4711929,0.086140928,3.592937e-05,0
V2,96000,1024,0,0.78855139,0.19397854,0.00019438448,0
V2,96000,1024,1,0.9048872,0.21244032,-0.0001288542,0
V2,96000,1024,2,0.9957093,0.19978039,0.00015455351,0
OsTIrus,96000,1024,0,0.0078122616,4.367187e-05,2.4413317e-07,0
OsTIrus,96000,1024,1,0.13757777,0.076580921,0.00011927381,0
OsTIrus,96000,1024,2,0.12621665,0.0038118042,-8.3878922e-06,0
